time,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CAS-ESM2-0,CESM2,CESM2-WACCM,CIESM,CMCC-CM2-SR5,CNRM-CM6-1,CNRM-CM6-1-HR,CNRM-ESM2-1,CanESM5,CanESM5-CanOE,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,UKESM1-0-LL
1873-12-31,289.19888,290.21356,289.2296,290.308,289.47052,289.70093,289.7113,289.3263,289.80615,289.71286,288.29803,287.81772,289.33804,289.09308,288.73672,289.6654,289.44394,289.16772,293.11835,288.26108,288.32147,288.75256,288.39713,288.89508,289.8362,289.01254,293.4395,288.90707,288.7256,288.58475,289.0692,288.5008,289.03915,290.61966,290.94193,289.48108,289.07852,288.99838,289.19864,289.8324,289.44336,289.08356
1874-12-31,289.39728,290.25534,289.19803,290.30167,289.05017,289.5135,289.48578,289.3865,289.70496,289.69577,288.44705,287.81497,289.16788,289.01645,288.80502,289.50085,289.31918,289.14575,293.05084,288.35037,288.17883,288.786,288.2178,289.00632,289.816,288.9781,293.4221,288.89478,288.6148,288.49298,289.26425,288.28232,288.96182,290.56638,291.0139,289.6626,288.96378,289.1079,289.22168,289.84744,289.71036,288.87042
1875-12-31,289.3521,290.19962,289.26968,290.29703,289.24597,289.69308,289.55634,289.30225,289.8154,289.63974,288.2282,287.9348,289.18912,289.13977,288.81638,289.3506,289.29898,289.0504,292.94852,288.38806,288.31366,288.81238,288.2674,289.0049,289.48083,289.11356,293.70126,288.9876,288.68372,288.39865,289.23264,288.24048,289.0327,290.832,290.78622,289.63013,288.889,289.33905,289.26947,289.94235,289.6007,288.8337
1876-12-31,289.30508,290.11902,289.33356,290.41916,289.37305,289.7824,289.47888,289.2676,289.86127,289.5489,288.38452,287.83676,289.2275,289.20688,288.815,289.5631,289.42673,288.99203,293.02472,288.31464,288.2974,288.78192,288.335,288.90115,289.43832,289.17932,293.45547,288.90845,288.7032,288.51758,288.97107,288.3657,288.9676,290.99,290.83328,289.5151,288.90964,289.27332,289.17404,290.011,289.4323,288.87225
1877-12-31,289.40872,290.12,289.1329,290.40216,289.51733,289.6266,289.5922,289.3412,289.8568,289.5539,288.5645,287.84512,289.34518,289.15668,288.87805,289.50418,289.49417,289.04648,293.19897,288.53577,288.34576,288.79428,288.35126,288.92105,289.79218,289.12726,293.6262,288.83167,288.8747,288.5271,289.0768,288.1082,289.14532,290.76437,290.72153,289.51462,288.9841,289.34274,289.1175,290.15665,289.67313,289.00577
1878-12-31,289.35352,289.985,289.02228,290.48138,289.4039,289.5313,289.6165,289.57297,289.71393,289.64273,288.31677,287.832,289.363,289.1887,288.96136,289.5903,289.83594,289.2229,293.387,288.47348,288.2929,288.78128,288.19363,288.92554,289.8822,289.12427,293.48877,288.76233,288.75162,288.41663,289.18286,288.33533,289.2204,290.57382,290.77625,289.43628,289.03766,289.3536,289.2359,290.20435,289.49738,289.14563
1879-12-31,289.30878,290.07605,289.11926,290.55063,289.2355,289.59656,289.67798,289.67194,289.7265,289.60025,288.48135,287.8637,289.09772,289.15436,289.03552,289.47208,289.79868,289.00613,293.1864,288.29114,288.30893,288.73682,288.22128,289.09476,289.64435,289.13565,293.5832,288.82312,288.5849,288.343,289.20163,288.39886,289.04007,290.56287,290.84427,289.36142,289.12906,289.23804,289.24823,290.09634,289.3745,288.9543
1880-12-31,289.25912,290.06778,289.33612,290.42648,289.30844,289.68375,289.7384,289.4304,289.7544,289.52353,288.53894,288.00275,289.15167,289.22226,288.9065,289.59305,289.4564,289.11584,293.24884,288.40247,288.39594,288.7697,288.17737,288.93857,289.57306,289.2145,293.5421,288.84134,288.71057,288.42844,289.2873,288.3537,289.10004,290.56152,290.8323,289.46906,289.0367,289.3189,289.1554,290.13242,289.39117,288.9599
1881-12-31,289.30774,289.98282,289.2331,290.40982,289.3267,289.50153,289.59552,289.3555,289.79898,289.63068,288.4262,287.79724,289.3883,289.2084,288.8083,289.69077,289.43115,289.26602,293.22336,288.26935,288.26642,288.7559,288.27136,288.8983,289.6765,289.12134,293.5282,288.8824,288.70517,288.32977,289.30005,288.1929,289.1531,290.59366,290.79462,289.5479,288.9865,289.37164,289.25192,290.00012,289.70517,288.87894
1882-12-31,289.35687,290.02414,289.1233,290.45895,289.34946,289.52774,289.3457,289.559,289.818,289.60843,288.48068,287.97974,289.2449,289.1001,288.7905,289.5461,289.4146,289.26517,293.1072,288.19443,288.36072,288.68842,288.29578,288.8127,289.8595,289.06055,293.53302,289.0009,288.7476,288.17166,289.30255,288.32828,289.02908,290.7366,290.84604,289.50833,288.9662,289.42108,289.2403,289.90155,289.5761,288.95596
